Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,DE,2019,"12        ",Female,18,Right-Handed,164.5,228.6,167.6,2,Car,10m,0.891,54,"Hockey (Field)",1000,976,940,969,40,50,268.2,"Left foot",6.5,7,"Ring finger",December,Winter,No,No,"No favorite",Water,Music,7h,10h,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",5,2,0,0,1,5,0,0,12,0,12,4,0,7,"A lot","Graduate degree","Rap/Hip hop",Fly,Healthy,"Musician or singer","International aid"
USA,DE,2013,"12        ",Male,18,Right-Handed,183,23,191,2,Car,30,0.296,51,Soccer,0,0,0,0,1000,1000,23,"Right foot",8,8.5,"Ring finger",May,Spring,Yes,No,Meat,Water,Other,7,5,7,"Yes - broadband connection","Text messaging",250,300,16,2,5,10,2,0,10,12,30,3,40,2,Some,"Undergraduate degree",Other,Invisibility,Rich,"Business person","Wildlife, animals"
USA,DE,2019,"12        ",Male,17,Right-Handed,190,64cm,568cm,1,Car,13min,0.30,46,"Table Tennis",1000,500,100,150,1,10,64cm,"Same length",80mm,90mm,"Ring finger",July,Winter,No,No,Meat,Water,"Mathematics and statistics",7,9-10,3,"Yes - broadband connection","Cell phone",4,7,36,5,6,0,0,16,1,2,5,2,0,4,"A lot","Graduate degree",Techno/Electronic,Invisibility,Rich,Other,"Wildlife, animals"
USA,DE,2013,"12        ",Male,17,Right-Handed,184,28,183,1,Car,25,.303,30,Skateboarding/Rollerblading,230,166,225,497,96,96,28,"Left foot",69,69,"Same length",August,Summer,No,No,Seafood,Milk,Science,4,4,4,"Yes - broadband connection","Text messaging",40,40,24,1,2,26,10,0,3,5,3,10,0,4,"Very little","Graduate degree","Punk rock",Telepathy,Famous,Relative,Health
USA,DE,2011,"10        ",Male,15,Right-Handed,167,25.5,177.5,2,Car,15,0.337,44,Soccer,500,750,0,,0,0,25,"Right foot",74,66,"Index finger",December,Winter,No,No,Pizza/Pasta,Water,Other,6,9,5,"Yes - broadband connection","Cell phone",100,101,10,2,6,1,10,1,1,2,1,3,6,1,Some,"Graduate degree",Country,Telepathy,Happy,"Coach or club leader",Other
USA,DE,2013,"12        ",Male,17,Right-Handed,188,28,194,2,Car,20,.318,42,Basketball,0,348,353,358,1000,1000,28,"Same length",127,126,"Index finger",November,Winter,No,No,Meat,"Soft drink (caffeinated)",History,8,10,2,"Yes - broadband connection","Text messaging",200,210,15,1,20,5,10,5,2,10,2,10,15,2,"A lot","Graduate degree","Rock and roll",Telepathy,Healthy,Teacher,"Education/Youth development"
USA,DE,2014,"12        ",Male,18,Right-Handed,72,29,71,2,Car,55,0.37,56,Basketball,0,0,850,0,900,1000,28,"Same length",30,30,"Ring finger",April,Summer,No,No,Meat,Water,Languages,8,11,3,"Yes - broadband connection","Cell phone",50,30,6,1,1,5,2,1,3,4,2,10,7,4,"Very little","Graduate degree","Rap/Hip hop",Fly,Rich,"Sports person","International aid"
USA,DE,2018,"12        ",Male,18,Right-Handed,175.2,29,64,2,Car,5,.43,47,Other,100,400,75,50,600,700,29,"Same length",90,80,"Index finger",December,Winter,Yes,No,Seafood,"Sports drink",Art,8,5,4,"Yes - other","Cell phone",,,,,,,,,,,,,,,,,,,,,
USA,DE,2013,"12        ",Male,17,Right-Handed,177.8,25.4,170.1,1,Car,35,.249,39,Other,3,999,999,999,1000,1000,27.94,"Same length",30,30,"Same length",November,Summer,Yes,No,Meat,Water,History,8,6,4,"Yes - other","Text messaging",200,160,6,0,13,5,4,4,5,7,20,4,0,8,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person","International aid"
USA,DE,2015,"9         ",Female,15,Right-Handed,166.6,25,64,2,Car,30,0.69,52,Walking/Hiking,100,100,100,0,1000,1000,25,"Same length",70,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
